Parameterization,N,Run,Variable,Median R_hat,Maximum R_hat,Diagnostics OK,Mean,q05,q50,q95
Centered,2,40,log_sigma_sq,1.00566,1.01806,True,-1.1948355820828473,-4.2456054,-1.1167669999999998,1.4477960599999995
Centered,2,40,theta[1],1.00566,1.01806,True,-0.0087182647342195,-1.153858345,-0.011585624,1.1126928599999995
Centered,2,41,log_sigma_sq,,,False,-2.862043467339826,-7.1480166,-2.23702015,1.2080006799999978
Centered,2,41,theta[1],,,False,0.0035780468083499986,-0.9453376569999998,0.024439423,0.9190239279999998
Centered,2,42,log_sigma_sq,1.00899,1.02387,True,-1.5645464244546423,-4.404527065,-1.5056703,1.1670720399999996
Centered,2,42,theta[1],1.00899,1.02387,True,0.0034486176830300012,-0.9968127499999999,0.0010805753,1.0342726599999983
Centered,2,43,log_sigma_sq,1.00919,1.02304,True,-1.29627615193269,-4.293969805,-1.22250405,1.472462394999999
Centered,2,43,theta[1],1.00919,1.02304,True,0.01836572017419,-1.06737026,0.0085605584,1.1570381399999998
Centered,2,44,log_sigma_sq,1.007215,1.01852,True,-1.247641181526925,-4.406803525,-1.0558638500000002,1.4359296699999993
Centered,2,44,theta[1],1.007215,1.01852,True,-0.018524128023825,-1.21326848,-0.0121745785,1.1461756399999994
Centered,2,45,log_sigma_sq,1.007925,1.0293,True,-1.48640991494465,-4.62312576,-1.3896965,1.2620265449999994
Centered,2,45,theta[1],1.007925,1.0293,True,-0.00349659592678125,-1.11212694,0.0014070609999999998,1.0521550100000001
Centered,2,46,log_sigma_sq,1.0070649999999999,1.01916,True,-1.5198343782054275,-4.7884364,-1.45568115,1.5559132099999997
Centered,2,46,theta[1],1.0070649999999999,1.01916,True,0.020515205163751996,-1.0555358449999999,0.00732586215,1.1689797849999997
Centered,2,47,log_sigma_sq,1.01443,1.0298,False,-1.6507021452990251,-4.51207705,-1.58298465,1.1324565249999996
Centered,2,47,theta[1],1.01443,1.0298,False,-0.01917378331525,-1.032124115,-0.0184811455,1.0578335299999981
Centered,2,48,log_sigma_sq,1.0092400000000001,1.02669,True,-1.09924628541745,-3.789868,-1.0621699,1.544401109999997
